Designator,Mid X,Mid Y,Layer,Rotation
3V3_REG2,30.9245,20.066,TOP,90
C1,24.9555,33.274,TOP,0
C2,1.0795,16.129,TOP,90
C3,19.8755,37.973,TOP,270
C4,18.2245,15.748,TOP,90
C5,18.7325,37.973,TOP,90
C8,28.2575,19.558,TOP,90
C10,12.3825,33.401,TOP,180
C11,33.5915,19.558,TOP,90
C12,2.3495,24.765,TOP,270
C13,27.8765,28.702,TOP,180
C14,27.8765,34.29,TOP,0
C15,24.9555,30.734,TOP,0
C16,20.6375,27.051,TOP,270
C17,27.3685,16.7005,TOP,270
C18,5.588,25.146,TOP,0
C19,15.0495,28.067,TOP,270
C20,14.4145,37.973,TOP,90
C21,12.3825,32.258,TOP,180
C22,22.7965,37.973,TOP,90
C23,13.2715,37.973,TOP,90
C24,15.5575,37.973,TOP,90
C25,34.7345,19.558,TOP,90
C26,27.1145,19.558,TOP,90
C27,18.4785,27.051,TOP,270
C28,10.9855,37.973,TOP,90
D2,25.2095,27.228,TOP,90
D3,28.0035,26.339,TOP,90
L1,12.5095,35.052,TOP,90
R9,12.1285,37.973,TOP,90
R20,9.8425,37.973,TOP,90
R23,24.9555,32.131,TOP,180
R24,24.8285,37.973,TOP,90
R25,16.7005,37.973,TOP,90
S_LED10,6.2865,38.1,TOP,270
U$2,31.6865,16.764,TOP,90
U3,8.5725,28.702,TOP,90
U4,14.4145,20.32,TOP,180
U5,22.4155,20.32,TOP,180
U6,5.9055,19.685,TOP,0
X2,27.9145,31.58,TOP,90
X3,19.2405,32.766,TOP,90
