Designator,Mid X,Mid Y,Layer,Rotation
3V3_REG4,14.351,16.51,TOP,0
C1,9.525,21.082,TOP,0
C2,6.477,11.938,TOP,180
C3,24.765,21.082,TOP,0
C4,25.654,15.24,TOP,0
C5,40.005,21.082,TOP,0
C6,39.878,11.938,TOP,0
C7,55.245,21.082,TOP,0
C8,56.134,14.732,TOP,0
C9,70.866,18.542,TOP,90
C10,68.326,10.922,TOP,180
C34,14.351,13.843,TOP,0
C35,14.351,19.05,TOP,0
U1,5.715,16.51,TOP,180
U2,66.675,16.51,TOP,180
U3,51.435,16.51,TOP,180
U4,20.955,16.51,TOP,180
U5,36.195,16.51,TOP,180
